2026-09-15 20:49:35,109 | INFO | hr_assistant.evaluation | Dataset 'hr-policy-qna' already exists, reusing it
2026-09-15 20:49:35,635 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-15 20:49:35,636 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-15 20:49:36,155 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/exists "HTTP/1.1 200 OK"
2026-09-15 20:49:36,157 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-09-15 20:49:36,157 | INFO | hr_assistant.vector_store | Connecting to the quadrant clloud
2026-09-15 20:49:36,163 | INFO | hr_assistant.embeddings | Initializing embeddings model 'embed-english-light-v3.0'
2026-09-15 20:49:36,181 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-15 20:49:36,804 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy "HTTP/1.1 200 OK"
2026-09-15 20:49:36,818 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-15 20:49:37,220 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-09-15 20:49:37,225 | INFO | hr_assistant.vector_store | Creating retriever with top_k=3
2026-09-15 20:49:37,227 | INFO | hr_assistant.llm | Initializing LLM via a portkey 
2026-09-15 20:49:37,227 | INFO | hr_assistant.gateway | Routing LLM calls through Portkey (config=pc-hr-pol-d3a682)
2026-09-15 20:49:37,703 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-09-15 20:49:37,708 | INFO | hr_assistant.agent | HR agent Ready
2026-09-15 20:49:37,708 | INFO | hr_assistant.pipeline | HR assistant is ready to take questions
2026-09-15 20:49:37,708 | INFO | hr_assistant.vector_store | Connecting to the quadrant clloud
2026-09-15 20:49:37,708 | INFO | hr_assistant.embeddings | Initializing embeddings model 'embed-english-light-v3.0'
2026-09-15 20:49:38,208 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy "HTTP/1.1 200 OK"
2026-09-15 20:49:38,316 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-15 20:49:38,596 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-09-15 20:49:38,600 | INFO | hr_assistant.vector_store | Creating retriever with top_k=3
2026-09-15 20:49:38,602 | INFO | hr_assistant.evaluation | Running evaluation against dataset 'hr-policy-qna'
2026-09-15 20:49:40,680 | INFO | hr_assistant.pipeline | User question: How many days of unused annual leave can be carried forward?
2026-09-15 20:49:40,967 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:42,594 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:42,606 | INFO | hr_assistant.tools | search_hr_policy called with query: How many days of unused annual leave can be carried forward?
2026-09-15 20:49:43,102 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-09-15 20:49:43,610 | INFO | httpx | HTTP Request: POST https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/points/query "HTTP/1.1 200 OK"
2026-09-15 20:49:43,612 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-09-15 20:49:43,876 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:43,879 | INFO | hr_assistant.pipeline | Final answer: According to Acme Crop’s leave policy, you may carry forward **up to 5 days** of unused annual leave into the next calendar year.
2026-09-15 20:49:44,139 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:44,647 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-09-15 20:49:45,132 | INFO | httpx | HTTP Request: POST https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/points/query "HTTP/1.1 200 OK"
2026-09-15 20:49:46,020 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:46,923 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:46,926 | INFO | hr_assistant.pipeline | User question: Within how many days must reimbursement claims be submitted?
2026-09-15 20:49:47,147 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:47,435 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:47,439 | INFO | hr_assistant.tools | search_hr_policy called with query: Within how many days must reimbursement claims be submitted?
2026-09-15 20:49:47,817 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-09-15 20:49:47,981 | INFO | httpx | HTTP Request: POST https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/points/query "HTTP/1.1 200 OK"
2026-09-15 20:49:47,982 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-09-15 20:49:48,253 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:48,255 | INFO | hr_assistant.pipeline | Final answer: Reimbursement claims must be submitted within **30 days** of the expense.
2026-09-15 20:49:48,479 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:48,941 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-09-15 20:49:49,102 | INFO | httpx | HTTP Request: POST https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/points/query "HTTP/1.1 200 OK"
2026-09-15 20:49:49,799 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:50,529 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:50,533 | INFO | hr_assistant.pipeline | User question: How long is the probation period?
2026-09-15 20:49:50,768 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:51,095 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:51,098 | INFO | hr_assistant.tools | search_hr_policy called with query: probation period
2026-09-15 20:49:51,474 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-09-15 20:49:51,641 | INFO | httpx | HTTP Request: POST https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/points/query "HTTP/1.1 200 OK"
2026-09-15 20:49:51,642 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-09-15 20:49:52,018 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:52,021 | INFO | hr_assistant.pipeline | Final answer: The probation period for new employees at Acme Crop is **3 months** from the date of joining. During this time, employees are not eligible for paid leave, but they may request unpaid leave for emergencies with manager approval. Performance is reviewed at the end of the probation to confirm employment.
2026-09-15 20:49:52,620 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:52,960 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-09-15 20:49:53,120 | INFO | httpx | HTTP Request: POST https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/points/query "HTTP/1.1 200 OK"
2026-09-15 20:49:54,045 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:54,997 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 20:49:55,001 | INFO | hr_assistant.pipeline | User question: How many paid sick days do I get per year?
